Time,Date,Temerature,Humidity,Pressure,Latitude,Longitude,Speed
15:39:18,27-02-2022,27.82,37.42,962.96,33.516727,72.883255,114.36
15:39:20,27-02-2022,27.83,37.43,963.04,33.517151,72.88372,114.25
15:39:22,27-02-2022,27.83,37.45,963.24,33.517574,72.884186,114.45
15:39:24,27-02-2022,27.83,37.45,963.36,33.517998,72.884644,114.6
15:39:26,27-02-2022,27.83,37.45,963.42,33.518421,72.885101,114.64
15:39:28,27-02-2022,27.83,37.45,963.4,33.518845,72.885567,114.47
15:39:30,27-02-2022,27.84,37.45,963.53,33.519268,72.886032,114.29
15:39:32,27-02-2022,27.83,37.45,963.62,33.519688,72.88649,113.95
15:39:34,27-02-2022,27.83,37.46,963.65,33.520107,72.886955,113.62
15:39:36,27-02-2022,27.83,37.47,963.83,33.520531,72.887413,113.75
15:39:38,27-02-2022,27.83,37.47,963.96,33.52095,72.887871,114.16
15:39:40,27-02-2022,27.84,37.48,964.11,33.521374,72.888336,114.47
15:39:42,27-02-2022,27.83,37.48,964.28,33.521797,72.888802,114.84
15:39:44,27-02-2022,27.84,37.51,964.39,33.522221,72.889259,114.97
15:39:46,27-02-2022,27.83,37.52,964.47,33.522648,72.889725,114.55
15:39:48,27-02-2022,27.84,37.53,964.37,33.523067,72.890182,113.94
15:39:50,27-02-2022,27.84,37.52,964.38,33.523487,72.89064,112.4
15:39:52,27-02-2022,27.84,37.5,964.34,33.523899,72.891098,110.99
15:39:54,27-02-2022,27.84,37.48,964.06,33.524307,72.891541,109.4
15:39:56,27-02-2022,27.84,37.47,964.07,33.524708,72.891983,108.9
15:39:58,27-02-2022,27.85,37.47,963.97,33.525108,72.892418,107.99
15:40:00,27-02-2022,27.84,37.48,963.88,33.525505,72.892853,108.08
15:40:02,27-02-2022,27.85,37.48,963.84,33.525902,72.893288,107.49
15:40:04,27-02-2022,27.85,37.49,963.78,33.526299,72.893723,107.49
15:40:06,27-02-2022,27.85,37.49,963.71,33.526695,72.894157,107.6
15:40:08,27-02-2022,27.85,37.49,963.59,33.527092,72.894585,107.9
15:40:10,27-02-2022,27.85,37.51,963.55,33.527493,72.895027,107.73
15:40:12,27-02-2022,27.85,37.52,963.56,33.527889,72.895462,108.14
15:40:14,27-02-2022,27.85,37.52,963.45,33.52829,72.895897,107.86
15:40:16,27-02-2022,27.85,37.51,963.4,33.528698,72.896317,108.53
15:40:18,27-02-2022,27.85,37.49,963.34,33.529114,72.896736,108.69
15:40:20,27-02-2022,27.85,37.48,963.28,33.529545,72.897133,108.6
15:40:22,27-02-2022,27.85,37.49,963.28,33.529991,72.897507,108.58
15:40:24,27-02-2022,27.85,37.51,963.26,33.530449,72.897858,108.81
15:40:26,27-02-2022,27.85,37.53,963.28,33.530926,72.898186,109.42
15:40:28,27-02-2022,27.86,37.53,963.25,33.531414,72.898483,109.93
15:40:30,27-02-2022,27.86,37.54,963.4,33.531914,72.898773,110.53
15:40:32,27-02-2022,27.86,37.56,963.45,33.532425,72.899033,110.95
15:40:34,27-02-2022,27.86,37.58,963.54,33.532944,72.899269,111.32
15:40:36,27-02-2022,27.86,37.57,963.66,33.533478,72.899475,111.88
15:40:38,27-02-2022,27.86,37.58,963.72,33.534016,72.899651,111.23
15:40:40,27-02-2022,27.86,37.58,963.85,33.534573,72.899796,113.58
15:40:42,27-02-2022,27.86,37.6,964,33.535118,72.899918,110.49
15:40:44,27-02-2022,27.86,37.6,964.01,33.535652,72.900009,108.66
15:40:47,27-02-2022,27.87,37.6,964.11,33.53648,72.900116,111.97
15:40:49,27-02-2022,27.86,37.62,964.19,33.537041,72.900177,113.18
15:40:51,27-02-2022,27.87,37.62,964.36,33.537609,72.900246,113.68
15:40:53,27-02-2022,27.87,37.62,964.28,33.538189,72.900314,114.18
15:40:55,27-02-2022,27.87,37.64,964.31,33.538769,72.90036,114.49
15:40:57,27-02-2022,27.87,37.61,964.27,33.539345,72.900406,115.34
15:40:59,27-02-2022,27.86,37.61,964.3,33.539917,72.900452,115.03
15:41:01,27-02-2022,27.86,37.59,964.28,33.540482,72.900505,114.19
15:41:03,27-02-2022,27.86,37.58,964.26,33.541039,72.900566,112.6
15:41:05,27-02-2022,27.86,37.57,964.12,33.541592,72.90065,110.92
15:41:07,27-02-2022,27.87,37.57,964.2,33.542141,72.900757,109.6
15:41:09,27-02-2022,27.87,37.57,964.19,33.542683,72.900909,109.45
15:41:11,27-02-2022,27.86,37.58,964.14,33.543217,72.901108,108.95
15:41:13,27-02-2022,27.87,37.58,964.19,33.543736,72.901314,109.31
15:41:15,27-02-2022,27.87,37.6,964.19,33.544247,72.90155,108.58
15:41:17,27-02-2022,27.87,37.62,964.11,33.544743,72.901817,108.21
15:41:19,27-02-2022,27.87,37.65,964.07,33.545231,72.9021,107.3
15:41:21,27-02-2022,27.87,37.64,964.24,33.545708,72.90239,105.08
15:41:23,27-02-2022,27.87,37.61,964.22,33.546169,72.902679,103.23
15:41:25,27-02-2022,27.87,37.6,964.22,33.546635,72.902946,102.95
15:41:27,27-02-2022,27.87,37.61,964.16,33.547112,72.903175,102.86
15:41:29,27-02-2022,27.88,37.61,964.13,33.5476,72.903374,104.03
15:41:31,27-02-2022,27.88,37.62,964.09,33.548103,72.903542,104.73
15:41:33,27-02-2022,27.88,37.63,963.93,33.548611,72.903671,102.6
15:41:35,27-02-2022,27.88,37.64,963.75,33.549122,72.903748,101.79
15:41:37,27-02-2022,27.88,37.6,963.55,33.549629,72.903786,100.29
15:41:39,27-02-2022,27.88,37.57,963.37,33.550133,72.903786,102.45
15:41:41,27-02-2022,27.88,37.52,963.21,33.550625,72.903709,101.66
15:41:43,27-02-2022,27.88,37.47,962.99,33.551117,72.90361,101.06
15:41:45,27-02-2022,27.88,37.45,962.82,33.551609,72.903473,99.34
15:41:47,27-02-2022,27.88,37.44,962.69,33.552086,72.903305,98.23
15:41:49,27-02-2022,27.89,37.43,962.57,33.552551,72.903107,97.51
15:41:51,27-02-2022,27.88,37.44,962.52,33.553005,72.90287,97.77
15:41:53,27-02-2022,27.88,37.44,962.56,33.553444,72.902611,98.14
